xwiki_page,client_name,xwiki_page_name,xwiki_page_url,filename,mime_type,size_bytes,size_mb,version,author,created,modified,xwiki_download_url,referenced_in_any_field,referenced_fields,reference_field_count
Client Info Library.CGI Federal,CGI Federal,CGI Federal,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/CGI%20Federal,SOW - Translation  Localization_CGI Federal_CMHA.pdf,application/pdf,331242,0.316,1.1,XWiki.mwilliams,,1724779788000,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/CGI%20Federal/attachments/SOW%20-%20Translation%20%20Localization_CGI%20Federal_CMHA.pdf,yes,pricingrequirements,1
Client Info Library.CGI Federal,CGI Federal,CGI Federal,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/CGI%20Federal,SOW - Translation  Localization_CGI Federal_PBCA.pdf,application/pdf,326986,0.312,1.1,XWiki.mwilliams,,1724779788000,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/CGI%20Federal/attachments/SOW%20-%20Translation%20%20Localization_CGI%20Federal_PBCA.pdf,yes,pricingrequirements,1
Client Info Library.Florence Unified School District,Florence Unified School District,Florence Unified School District,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Florence%20Unified%20School%20District,1642695580816-981.png,image/png,78480,0.075,1.1,XWiki.bkelter,,1642695580000,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Florence%20Unified%20School%20District/attachments/1642695580816-981.png,yes,pricingstructure,1
Client Info Library.Florence Unified School District,Florence Unified School District,Florence Unified School District,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Florence%20Unified%20School%20District,Pricing AZ Standard.pdf,application/pdf,882852,0.842,1.1,XWiki.bkelter,,1642695614000,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Florence%20Unified%20School%20District/attachments/Pricing%20AZ%20Standard.pdf,no,,0
Client Info Library.California Department of Alcoholic Beverage Control (CMAS),California Department of Alcoholic Beverage Control (CMAS),California Department of Alcoholic Beverage Control (CMAS),https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/California%20Department%20of%20Alcoholic%20Beverage%20Control%20%28CMAS%29,1642203383809-920.png,image/png,115195,0.11,1.1,XWiki.bkelter,,1642203383000,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/California%20Department%20of%20Alcoholic%20Beverage%20Control%20%28CMAS%29/attachments/1642203383809-920.png,no,,0
Client Info Library.California Department of Alcoholic Beverage Control (CMAS),California Department of Alcoholic Beverage Control (CMAS),California Department of Alcoholic Beverage Control (CMAS),https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/California%20Department%20of%20Alcoholic%20Beverage%20Control%20%28CMAS%29,Att A7 Document Translation_CMAS.pdf,application/pdf,174937,0.167,1.1,XWiki.bkelter,,1642203676000,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/California%20Department%20of%20Alcoholic%20Beverage%20Control%20%28CMAS%29/attachments/Att%20A7%20Document%20Translation_CMAS.pdf,no,,0
Client Info Library.San Louis Obispo County District Attorney's Office,San Louis Obispo County District Attorney's Office,San Louis Obispo County District Attorney's Office,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/San%20Louis%20Obispo%20County%20District%20Attorney%27s%20Office,SOW - Translation & Localization (Exhibit A)_San Luis Obispo County.pdf,application/pdf,179958,0.172,1.1,XWiki.lmatteson,,1703027353000,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/San%20Louis%20Obispo%20County%20District%20Attorney%27s%20Office/attachments/SOW%20-%20Translation%20%26%20Localization%20%28Exhibit%20A%29_San%20Luis%20Obispo%20County.pdf,no,,0
Client Info Library.Beacon Health Options,Beacon Health Options,Beacon Health Options,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Beacon%20Health%20Options,Beacon Pricing.pdf,application/pdf,116081,0.111,1.1,XWiki.eharchuck,,1522357155000,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Beacon%20Health%20Options/attachments/Beacon%20Pricing.pdf,yes,pricingstructure,1
Client Info Library.Beacon Health Options,Beacon Health Options,Beacon Health Options,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Beacon%20Health%20Options,Beacon Pricing.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,62605,0.06,1.1,XWiki.eharchuck,,1522356888000,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Beacon%20Health%20Options/attachments/Beacon%20Pricing.xlsx,no,,0
Client Info Library.San Joaquin Regional Transit District,San Joaquin Regional Transit District,San Joaquin Regional Transit District,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/San%20Joaquin%20Regional%20Transit%20District,NTPandPO_20200115 FEC.pdf,application/pdf,1499258,1.43,1.1,XWiki.gharchuck,,1581702884000,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/San%20Joaquin%20Regional%20Transit%20District/attachments/NTPandPO_20200115%20FEC.pdf,yes,pricingstructure,1
