xwiki_page,client_name,xwiki_page_name,xwiki_page_url,xwiki_properties_url,xwiki_attachments_url,attachment_count,total_size_bytes,total_size_mb,referenced_attachment_count,unreferenced_attachment_count,has_attachments,filenames,mime_types
Client Info Library.Tufts Children's Hospital,Tufts Children's Hospital,Tufts Children's Hospital,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Tufts%20Children%27s%20Hospital,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Tufts%20Children's%20Hospital/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Tufts%20Children%27s%20Hospital/attachments,0,0,0.0,0,0,no,,
Client Info Library.LCVC Management,LCVC Management,LCVC Management,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/LCVC%20Management,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/LCVC%20Management/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/LCVC%20Management/attachments,0,0,0.0,0,0,no,,
Client Info Library.North Carolina Central University,North Carolina Central University,North Carolina Central University,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/North%20Carolina%20Central%20University,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/North%20Carolina%20Central%20University/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/North%20Carolina%20Central%20University/attachments,0,0,0.0,0,0,no,,
Client Info Library.University of Maryland Charles Regional Medical Center,University of Maryland Charles Regional Medical Center,University of Maryland Charles Regional Medical Center,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/University%20of%20Maryland%20Charles%20Regional%20Medical%20Center,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/University%20of%20Maryland%20Charles%20Regional%20Medical%20Center/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/University%20of%20Maryland%20Charles%20Regional%20Medical%20Center/attachments,0,0,0.0,0,0,no,,
Client Info Library.CGI Federal,CGI Federal,CGI Federal,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/CGI%20Federal,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/CGI%20Federal/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/CGI%20Federal/attachments,2,658228,0.628,2,0,yes,SOW - Translation  Localization_CGI Federal_CMHA.pdf; SOW - Translation  Localization_CGI Federal_PBCA.pdf,application/pdf
Client Info Library.Central Early Steps Program,Central Early Steps Program,Central Early Steps Program,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Central%20Early%20Steps%20Program,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Central%20Early%20Steps%20Program/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Central%20Early%20Steps%20Program/attachments,0,0,0.0,0,0,no,,
Client Info Library.Florence Unified School District,Florence Unified School District,Florence Unified School District,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Florence%20Unified%20School%20District,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Florence%20Unified%20School%20District/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Florence%20Unified%20School%20District/attachments,2,961332,0.917,1,1,yes,1642695580816-981.png; Pricing AZ Standard.pdf,application/pdf; image/png
Client Info Library.Butte County,Butte County,Butte County,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Butte%20County,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Butte%20County/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Butte%20County/attachments,0,0,0.0,0,0,no,,
Client Info Library.Children's Advocacy Center of Douglas County,,Children's Advocacy Center of Douglas County,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Children%27s%20Advocacy%20Center%20of%20Douglas%20County,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Children's%20Advocacy%20Center%20of%20Douglas%20County/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Children%27s%20Advocacy%20Center%20of%20Douglas%20County/attachments,0,0,0.0,0,0,no,,
Client Info Library.US Department of Labor - OSHA,US Department of Labor - OSHA,US Department of Labor - OSHA,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/US%20Department%20of%20Labor%20-%20OSHA,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/US%20Department%20of%20Labor%20-%20OSHA/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/US%20Department%20of%20Labor%20-%20OSHA/attachments,0,0,0.0,0,0,no,,
